Part Code,Desc1,Desc2,HS Code,Cli Code,Vend Code,COE,TT,Cust Ctry,TaxRefNum,Annex,Part Group,AD Code,AD Rate,AD Rate Type,AD UOM Code,Part Type Code,Vend Price,Sls UOM Code,Exc Tax Ref Num,Part Category,Ext Fibre Coverage,Weight,Weight UOM,IP Comm Code,IP Cat Code,IP Agr Code,IP from US/MX,Blank,Rulling#,Cert Org Code,Cert Eff Date,Cert Exp Date,Def Proj Code,Stocking#,COO Code,OIC Rem Num,Part Class Code,Cert Type,Part ID,Spec Handling,Stocking%,Last Used Date,Qty/Pkg,TPL Possible,Part Note,Cert Sts,Duty Rate,Duty Type,OGD Code,OGD Sub Type,VFD Code,Vendor Part#,Client Part#,Airs Req Id,Airs Req Ver,Airs Code,End Use,Airs Misc Id,Prod Model,Prod Model Num,Prod Type Size,Prod Brand,Reason Imp Code,Compl Lbl Code,Compl Tire Code,Tiin Code,AD Rate2,AD Rate2 Type,AD Currency,HS Code Eff Date,HS Code Exp Date,Annex Code Eff Date,Annex Code Exp Date,Qty Conv UoM From,Qty Conv UoM To,Qty Conv UoM Factor,Qty Conv Description,Product Make,Assist Value,Assist Type (%/Amt),Assist Currency,Updated By,Updated Time
SCQ01RB,The Stitched Cotton Quilt in Rainbow,The Stitched Cotton Quilt in Rainbow,630419,,,,,,,,,,,,,,58.9,,,,,,,,,,,,,630419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCQ02WT,The Stitched Cotton Quilt in White,The Stitched Cotton Quilt in White,630419,,,,,,,,,,,,,,57.9,,,,,,,,,,,,,630419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCQ03BN,The Stitched Cotton Quilt in Bone,The Stitched Cotton Quilt in Bone,630419,,,,,,,,,,,,,,57.9,,,,,,,,,,,,,630419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCQ04CHR,The Stitched Cotton Quilt in Charcoal,The Stitched Cotton Quilt in Charcoal,630419,,,,,,,,,,,,,,57.9,,,,,,,,,,,,,630419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCQ05DSK,The Stitched Cotton Quilt in Dusk,The Stitched Cotton Quilt in Dusk,630419,,,,,,,,,,,,,,57.9,,,,,,,,,,,,,630419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCQ06CHO,The Stitched Cotton Quilt in Chocolate,The Stitched Cotton Quilt in Chocolate,630419,,,,,,,,,,,,,,57.9,,,,,,,,,,,,,630419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDO-BS-MSS,The Sedona Beach Towel in Moss,The Sedona Beach Towel in Moss,630260,,,,,,,,,,,,,,9.15,,,,,,,,,,,,,630260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDO-BS-TC,The Sedona Beach Towel in Terracotta,The Sedona Beach Towel in Terracotta,630260,,,,,,,,,,,,,,9.15,,,,,,,,,,,,,630260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA01BW,The Seasons Blanket in Black,The Seasons Blanket in Black,630231,,,,,,,,,,,,,,22.25,,,,,,,,,,,,,630231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA02CB,The Seasons Blanket in Cream,The Seasons Blanket in Cream,630231,,,,,,,,,,,,,,22.25,,,,,,,,,,,,,630231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
